시군명,구/읍면동명,기관명,시설구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
김포시,장기동,김포경찰서,경찰관서,10090,경기도 김포시 장기동 2083-7번지,경기도 김포시 태장로795번길 65,126.6817472,37.6369103
부천시,중동,부천원미경찰서,경찰관서,14549,경기도 부천시 중동 1105번지,경기도 부천시 조마루로311번길 84,126.7773319,37.5024622
성남시,수정구,성남수정경찰서,경찰관서,13110,경기도 성남시 수정구 태평동 6812번지,경기도 성남시 수정구 성남대로 1259,127.1266515,37.4419936
성남시,중원구,성남중원경찰서,경찰관서,13200,경기도 성남시 중원구 상대원동 269-1번지,경기도 성남시 중원구 금빛로2번길 10,127.1698186,37.442382
수원시,장안구,수원중부경찰서,경찰관서,16335,경기도 수원시 장안구 정자동 873-4번지,경기도 수원시 장안구 정자천로 199,126.9965885,37.297788
시흥시,장곡동,시흥경찰서,경찰관서,15002,경기도 시흥시 장곡동 340번지,경기도 시흥시 황고개로 513,126.7879168,37.3762247
안산시,상록구,안산상록경찰서,경찰관서,15585,경기도 안산시 상록구 사동 1586-4번지,경기도 안산시 상록구 차돌배기로 10,126.8448789,37.2993135
안성시,도기동,안성경찰서,경찰관서,17595,경기도 안성시 도기동 544-8번지,경기도 안성시 알미산로 140,127.2488803,37.0001607
양평군,양평읍,양평경찰서,경찰관서,12555,경기도 양평군 양평읍 양근리 280번지,경기도 양평군 양평읍 양근강변길 42,127.4904838,37.4881114
용인시,처인구,용인동부경찰서,경찰관서,17019,경기도 용인시 처인구 삼가동 548번지,경기도 용인시 처인구 금학로 143,127.1810948,37.2412407
평택시,비전동,평택경찰서,경찰관서,17896,경기도 평택시 비전동 619-2번지,경기도 평택시 중앙로 67,127.0909191,36.9946071
오산시,부산동,화성동부경찰서,경찰관서,18148,경기도 오산시 부산동 398-3번지,경기도 오산시 동부대로 596,127.0821651,37.1536951
하남시,하산곡동,하남경찰서,경찰관서,13024,경기도 하남시 하산곡동 74-5번지,경기도 하남시 검단로 27,127.2246128,37.5227417
안양시,만안구,안양만안경찰서,경찰관서,14091,경기도 안양시 만안구 안양동 578-8번지,경기도 안양시 만안구 냉천로 63,126.9263686,37.3870272
용인시,기흥구,용인서부경찰서,경찰관서,16905,경기도 용인시 기흥구 보정동 1290번지,경기도 용인시 기흥구 용구대로2469번길 32,127.1065466,37.3092308
경기도,금오동,경기북부지방경찰청,경찰관서,11763,경기도 의정부시 금오동 123번지,경기도 의정부시 금오로23번길 22-49,127.0698444,37.7560662
가평군,가평읍,가평경찰서,경찰관서,12420,경기도 가평군 가평읍 대곡리 229-1번지,경기도 가평군 가평읍 가화로 61,127.514911,37.8253995
고양시,덕양구,고양경찰서,경찰관서,10503,경기도 고양시 덕양구 화정동 1008번지,경기도 고양시 덕양구 화중로 12,126.8295943,37.6283005
남양주시,지금동,남양주경찰서,경찰관서,12249,경기도 남양주시 지금동 20-15번지,경기도 남양주시 경춘로 532,127.1714532,37.6116123
연천군,연천읍,연천경찰서,경찰관서,11014,경기도 연천군 연천읍 차탄리 34-56번지,경기도 연천군 연천읍 연천로 239,127.0738946,38.0981369
의정부시,의정부동,의정부경찰서,경찰관서,11664,경기도 의정부시 의정부동 420번지,경기도 의정부시 호국로 1265,127.0442602,37.7441764
고양시,일산동구,일산경찰서,경찰관서,10363,경기도 고양시 일산동구 정발산동 725번지,경기도 고양시 일산동구 중앙로 1338,126.7695768,37.6647674
파주시,금릉동,파주경찰서,경찰관서,10934,경기도 파주시 금릉동 427번지,경기도 파주시 쇠재로 140,126.7785467,37.7534211
포천시,군내면,포천경찰서,경찰관서,11153,경기도 포천시 군내면 구읍리 729번지,경기도 포천시 군내면 호국로 1570,127.2047452,37.8936394
구리시,교문동,구리경찰서,경찰관서,11954,경기도 구리시 교문동 462-3번지,경기도 구리시 아차산로 359,127.1290086,37.5871136
양주시,회정동,양주경찰서,경찰관서,11435,경기도 양주시 회정동 84-7번지,경기도 양주시 평화로 1699,127.0540159,37.840583
동두천시,상패동,동두천경찰서,경찰관서,11336,경기도 동두천시 상패동 47-6번지,경기도 동두천시 상패로 89,127.0459792,37.9103817
경기도,장안구,경기남부지방경찰청,경찰관서,16218,경기도 수원시 장안구 연무동 산11-2번지,경기도 수원시 장안구 창룡대로 223,127.0334451,37.2941531
과천시,중앙동,과천경찰서,경찰관서,13807,경기도 과천시 중앙동 39번지,경기도 과천시 통영로 20,126.9898326,37.4291373
광명시,철산동,광명경찰서,경찰관서,14240,경기도 광명시 철산동 418번지,경기도 광명시 디지털로 5,126.8679017,37.4739848
광주시,탄벌동,광주경찰서,경찰관서,12749,경기도 광주시 탄벌동 541-2번지,경기도 광주시 포돌이로 135,127.2396699,37.4082228
군포시,금정동,군포경찰서,경찰관서,15829,경기도 군포시 금정동 848번지,경기도 군포시 산본로324번길 16,126.9362838,37.3603903
부천시,송내동,부천소사경찰서,경찰관서,14734,경기도 부천시 송내동 601번지,경기도 부천시 경인로160번길 70,126.7723898,37.4803963
성남시,분당구,분당경찰서,경찰관서,13557,경기도 성남시 분당구 정자동 160번지,경기도 성남시 분당구 정자일로 165,127.1053817,37.3650589
수원시,영통구,수원남부경찰서,경찰관서,16528,경기도 수원시 영통구 매탄동 1196번지,경기도 수원시 영통구 매봉로 52,127.0540236,37.2720438
수원시,권선구,수원서부경찰서,경찰관서,16626,경기도 수원시 권선구 탑동 911번지,경기도 수원시 권선구 서부로 1673,126.9723444,37.2585174
안산시,단원구,안산단원경찰서,경찰관서,15335,경기도 안산시 단원구 고잔동 514번지,경기도 안산시 단원구 화랑로 373,126.8288569,37.3216184
안양시,동안구,안양동안경찰서,경찰관서,14048,경기도 안양시 동안구 비산동 1105번지,경기도 안양시 동안구 동안로159번길 43,126.9486444,37.3911121
여주시,창동,여주경찰서,경찰관서,12627,경기도 여주시 창동 155번지,경기도 여주시 세종로 50,127.63491,37.2934968
이천시,중리동,이천경찰서,경찰관서,17379,경기도 이천시 중리동 350-1번지,경기도 이천시 부악로 32,127.4349884,37.2734108
화성시,남양읍,화성서부경찰서,경찰관서,18269,경기도 화성시 남양읍 신남리 1539-4번지,경기도 화성시 남양읍 신남로 405,126.8125367,37.1762931
의왕시,고천동,의왕경찰서,경찰관서,16074,경기도 의왕시 고천동 328-10번지,경기도 의왕시 시청로 96,126.9681764,37.3505919
부천시,여월동,부천오정경찰서,경찰관서,14485,경기도 부천시 여월동 304번지,경기도 부천시 소사로 631,126.8002796,37.514514
가평군,가평읍,경기도 가평소방서,소방서,12419,경기도 가평군 가평읍 대곡리 213-5번지,경기도 가평군 가평읍 가화로 36,127.5164468,37.8232631
고양시,덕양구,경기도 고양소방서,소방서,10455,경기도 고양시 덕양구 성사동 740번지,경기도 고양시 덕양구 고양대로 1342,126.8332046,37.6550898
과천시,중앙동,경기도 과천소방서,소방서,13807,경기도 과천시 중앙동 40번지,경기도 과천시 통영로 12,126.990523,37.4285627
광명시,소하동,경기도 광명소방서,소방서,14316,경기도 광명시 소하동 1336번지,경기도 광명시 금하로 472,126.8852156,37.4486864
광주시,초월읍,경기도 광주소방서,소방서,12735,경기도 광주시 초월읍 대쌍령리 450-7번지,경기도 광주시 초월읍 무들로 112,127.2994795,37.3855836
구리시,교문동,경기도 구리소방서,소방서,11952,경기도 구리시 교문동 354-6번지,경기도 구리시 아차산로487번길 46,127.1278323,37.5982898
