집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지지번주소,소재지도로명주소,logitude,latitude
2015-09-18,여주시,가남읍,031-887-3832,469884,경기도 여주시 가남읍 태평리 138-8번지,경기도 여주시 가남읍 태평중앙1길 20,127.5449956,37.2015967
2015-09-18,의정부시,가능1동,031-828-4200,480101,경기도 의정부시 가능동 653-23번지,경기도 의정부시 신흥로 367,127.042287,37.7490565
2015-09-18,의정부시,가능2동,031-828-4210,480102,경기도 의정부시 가능동 831-1번지,경기도 의정부시 의정로88번길 9,127.0355295,37.7408239
2015-09-18,의정부시,가능3동,031-828-4220,480103,경기도 의정부시 가능동 702-10번지,경기도 의정부시 호국로1135번길 15,127.0296717,37.7434239
2015-09-18,포천시,가산면,031-538-3904,487814,경기도 포천시 가산면 마산리 601-1번지,경기도 포천시 가산면 선마로 223,127.1861447,37.84821
2015-09-18,가평군,가평군청,031-580-2114,477701,경기도 가평군 가평읍 읍내리 513번지,경기도 가평군 가평읍 석봉로 181,127.5097056,37.8313181
2015-09-18,가평군,가평읍,031-582-3002,477805,경기도 가평군 가평읍 읍내리 366번지,경기도 가평군 가평읍 가화로 62,127.5165387,37.8253601
2015-09-18,구리시,갈매동,031-550-2601,471858,구리시 산마루로 1 (갈매동 256-14),,127.116307,37.6348
2015-09-18,안양시,갈산동,031-8045-4760,431088,경기도 안양시 동안구 호계동 1118번지,경기도 안양시 동안구 흥안대로223번길 30,126.9661696,37.376144
2015-09-18,과천시,갈현동,02-2150-3200,427100,경기도 과천시 갈현동 679번지,경기도 과천시 중앙로 28,126.9891188,37.4193613
2015-09-18,하남시,감북동,031-790-6608,465180,경기도 하남시 감북동 328번지,경기도 하남시 감북로 39,127.1617394,37.5162035
2015-09-18,양평군,강상면,031-770-3041,476911,경기도 양평군 강상면 교평리 592-1번지,경기도 양평군 강상면 신화길 10,127.4854803,37.4772043
2015-09-18,여주시,강천면,031-887-3982,469862,경기도 여주시 강천면 간매리 311-2번지,경기도 여주시 강천면 긴등길 5,127.7116242,37.2731411
2015-09-18,양평군,강하면,031-770-3071,476922,경기도 양평군 강하면 운심리 35-1번지,경기도 양평군 강하면 운심길 40,127.4105142,37.4958365
2015-09-18,양평군,개군면,031-770-3341,476893,경기도 양평군 개군면 하자포리 262-2번지,경기도 양평군 개군면 하자포길33번길 8,127.536798,37.4259891
2015-09-18,의정부시,경기도북부청,120,480764,경기도 의정부시 신곡동 800번지,경기도 의정부시 청사로 1,127.0716827,37.7475359
2015-09-18,수원시,경기도청,120,442781,경기도 수원시 팔달구 매산로3가 1-1번지,경기도 수원시 팔달구 효원로 1,127.0096199,37.2746669
2015-09-18,광주시,경안동,031-760-4504,464801,광주시 중앙로 125(경안동53-2),,127.2574441,37.4110949
2015-09-18,부천시,고강1동,032-625-7682,421191,경기도 부천시 고강동 290-2번지,경기도 부천시 고강로72번길 8,126.8119983,37.5294598
2015-09-18,부천시,고강본동,032-625-7662,421190,경기도 부천시 고강동 324-4번지,경기도 부천시 고리울로 79,126.8248198,37.5270612
2015-09-18,평택시,고덕면,031-8024-6840,451842,경기도 평택시 고덕면 좌교리 387-25번지,경기도 평택시 고덕면 고덕로 283,127.0177558,37.0423335
2015-09-18,성남시,고등동,031-729-5890,461300,경기도 성남시 수정구 고등동 429-1번지,경기도 성남시 수정구 대왕판교로 949,127.101557,37.4250451
2015-09-18,수원시,고등동,031-228-7606,442882,경기도 수원시 팔달구 고등동 153-1번지,경기도 수원시 팔달구 고등로 37,127.001141,37.2734563
2015-09-18,고양시,고봉동,031-8075-6958,411560,경기도 고양시 일산동구 문봉동 57-4번지,경기도 고양시 일산동구 성현로 397-18,126.827162,37.701873
2015-09-18,안성시,고삼면,031-678-3980,456924,경기도 안성시 고삼면 가유리 287-11번지 가유리 287-8,경기도 안성시 고삼면 고삼호수로 21,127.2634598,37.082695
2015-09-18,고양시,고양동,031-8075-5788,412500,경기도 고양시 덕양구 고양동 195-1번지,경기도 고양시 덕양구 벽제관로 5,126.9037252,37.7033527
2015-09-18,고양시,고양시청,031-909-9000,412701,경기도 고양시 덕양구 주교동 600번지,경기도 고양시 덕양구 고양시청로 10,126.8319596,37.6584144
2015-09-18,안산시,고잔1동,031-481-6602,425806,경기도 안산시 단원구 고잔동 659-6번지,경기도 안산시 단원구 화정천동로 252,126.8192019,37.3268362
2015-09-18,안산시,고잔2동,031-481-6603,425900,경기도 안산시 단원구 고잔동 526-2번지,경기도 안산시 단원구 중앙대로 839,126.8296526,37.3176503
2015-09-18,의왕시,고천동,031-345-3121,437701,경기도 의왕시 고천동 265번지,경기도 의왕시 사그내길 15,126.976078,37.347692
2015-09-18,김포시,고촌읍,031-980-5265,415810,김포시 고촌읍 장차로 14 (신곡리 530-1),,126.7709579,37.6033914
